Cue,Image,Category,CorrectResponse,CityName,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
MÁLNA UTCA,stimuli/scenes/096a.jpg,scene,right,Hippopolis,2,stimuli/objects/079a.jpg,stimuli/objects/060b.jpg,stimuli/objects/060a.jpg,stimuli/objects/079a.jpg,stimuli/objects/079b.jpg,dist2,dist1,target,lure
CSAVAR UTCA,stimuli/objects/115a.jpg,object,left,Hippopolis,1,stimuli/objects/038a.jpg,stimuli/objects/101b.jpg,stimuli/objects/101a.jpg,stimuli/objects/038b.jpg,stimuli/objects/038a.jpg,dist2,dist1,lure,target
LOVAGLÁS UTCA,stimuli/objects/016a.jpg,object,left,Hippopolis,0,stimuli/objects/016a.jpg,stimuli/scenes/010a.jpg,stimuli/scenes/010b.jpg,stimuli/objects/016b.jpg,stimuli/objects/016a.jpg,dist1,dist2,lure,target
SIRÁLY UTCA,stimuli/objects/084a.jpg,object,left,Hippopolis,2,stimuli/scenes/049a.jpg,stimuli/objects/042a.jpg,stimuli/scenes/049a.jpg,stimuli/scenes/049b.jpg,stimuli/objects/042b.jpg,dist1,target,lure,dist2
TALICSKA UTCA,stimuli/scenes/023a.jpg,scene,right,Hippopolis,0,stimuli/scenes/023a.jpg,stimuli/objects/078b.jpg,stimuli/scenes/023b.jpg,stimuli/objects/078a.jpg,stimuli/scenes/023a.jpg,dist2,lure,dist1,target
HORDÓ UTCA,stimuli/objects/055a.jpg,object,left,Hippopolis,1,stimuli/objects/026a.jpg,stimuli/objects/026a.jpg,stimuli/scenes/069a.jpg,stimuli/objects/026b.jpg,stimuli/scenes/069b.jpg,target,dist1,lure,dist2
TULIPÁN UTCA,stimuli/objects/103a.jpg,object,left,Hippopolis,2,stimuli/scenes/084a.jpg,stimuli/scenes/084b.jpg,stimuli/objects/008a.jpg,stimuli/scenes/084a.jpg,stimuli/objects/008b.jpg,lure,dist1,target,dist2
LÉPCSŐ UTCA,stimuli/objects/117a.jpg,object,left,Hippopolis,2,stimuli/scenes/012a.jpg,stimuli/scenes/012a.jpg,stimuli/objects/041b.jpg,stimuli/objects/041a.jpg,stimuli/scenes/012b.jpg,target,dist2,dist1,lure
BÖGRE UTCA,stimuli/scenes/118a.jpg,scene,right,Hippopolis,2,stimuli/objects/059a.jpg,stimuli/objects/059b.jpg,stimuli/objects/081b.jpg,stimuli/objects/059a.jpg,stimuli/objects/081a.jpg,lure,dist2,target,dist1
CSILLAG UTCA,stimuli/objects/050a.jpg,object,left,Hippopolis,2,stimuli/scenes/088a.jpg,stimuli/objects/059b.jpg,stimuli/scenes/088b.jpg,stimuli/objects/059a.jpg,stimuli/scenes/088a.jpg,dist2,lure,dist1,target
KULLANCS UTCA,stimuli/scenes/060a.jpg,scene,right,Hippopolis,1,stimuli/scenes/117a.jpg,stimuli/objects/026a.jpg,stimuli/scenes/117a.jpg,stimuli/objects/026b.jpg,stimuli/scenes/117b.jpg,dist1,target,dist2,lure
KÖTÉL UTCA,stimuli/objects/098a.jpg,object,left,Hippopolis,1,stimuli/objects/112a.jpg,stimuli/objects/112a.jpg,stimuli/scenes/105b.jpg,stimuli/objects/112b.jpg,stimuli/scenes/105a.jpg,target,dist2,lure,dist1
FÉNYKÉP UTCA,stimuli/scenes/065a.jpg,scene,right,Hippopolis,2,stimuli/objects/051a.jpg,stimuli/objects/094a.jpg,stimuli/objects/051b.jpg,stimuli/objects/094b.jpg,stimuli/objects/051a.jpg,dist1,lure,dist2,target
SZAXOFON UTCA,stimuli/scenes/101a.jpg,scene,right,Hippopolis,2,stimuli/objects/070a.jpg,stimuli/objects/070b.jpg,stimuli/objects/070a.jpg,stimuli/objects/051a.jpg,stimuli/objects/051b.jpg,lure,target,dist1,dist2
FÜGE UTCA,stimuli/scenes/032a.jpg,scene,right,Hippopolis,0,stimuli/scenes/032a.jpg,stimuli/scenes/032a.jpg,stimuli/scenes/032b.jpg,stimuli/scenes/027b.jpg,stimuli/scenes/027a.jpg,target,lure,dist2,dist1
